objid,bands,pid1,pid2
1237663204921246246,i,1237663204921246246,1237663204921246247
1237663204921246247,i,1237663204921246246,1237663204921246247
1237663204922426213,i,1237663204922425660,1237663204922425657
1237678617426395533,i,1237678617426395817,1237678617426395817
1237657069547356604,g,1237657069547356604,1237657069547356604
1237663783662846256,i,1237663783662846256,1237663783662846256
1237663783662846255,i,1237663783662846255,1237663783662846255
1237663783675232546,i,1237663783675232546,1237663783675232545
1237663783675232544,i,1237663783675232544,1237663783675232545
1237657586025431232,r,1237657586025431232,1237657586025431232
1237657586025431230,r,1237657586025431230,1237657586025431230
1237657587099173037,i,1237657587099173037,1237657587099173037
1237657587099173039,i,1237657587099173039,1237657587099173039
1237663783127810591,r,1237663783127810592,1237663783127810592
1237663782590349922,r,1237663782590349922,1237663782590349922
1237663782590349921,r,1237663782590349921,1237663782590349921
1237663784202993794,i,1237663784202993793,1237663784202993794
1237663784202993793,i,1237663784202993793,1237663784202993794
1237663782598672859,r,1237663782598672859,1237663782598672859
1237663784212103952,i,1237663784212103950,1237663784212103950
1237660338016223426,r,1237660338016223426,1237660338016223426
1237660338016223425,r,1237660338016223425,1237660338016223425
1237657190905872910,i,1237657190905872911,1237657190905872911
1237657071157117553,r,1237657071157117937,1237657071157117937
1237663782602408189,i,1237663782602342767,1237663782602342767
1237678617436750379,i,1237678617436750379,1237678617436750379
