objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks,status
1237663239272202585,41.8662972767316,0.565913694499787,SINGLE,"[(50, 50)]",DOUBLE,"[(51, 51)(59, 51)]",DOUBLE,"[(59, 50)(51, 50)]",SINGLE,"[(23, 36)]",success
1237663239272202584,41.8673228726014,0.565848184380606,NO_PEAK,"[]",DOUBLE,"[(42, 51)(50, 51)]",DOUBLE,"[(50, 50)(42, 50)]",SINGLE,"[(14, 37)]",success
1237663783678444392,40.9931428821437,-0.345491902798139,SINGLE,"[(56, 98)]",NO_PEAK,"[]",DOUBLE,"[(42, 54)(43, 55)]",NO_PEAK,"[]",success
1237663783142818245,43.7834893578581,-0.694420494880339,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 50)(50, 50)]",NO_PEAK,"[]",success
1237663783678116223,40.1602425961534,-0.212022158302043,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(41, 45)]",DOUBLE,"[(41, 45)(41, 44)]",success
1237660241923015074,47.0448722417379,0.893709551568734,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(52, 58)]",success
1237660241923015075,47.0450712304915,0.894568079262866,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(48, 42)(50, 50)]",success
1237660239777563291,51.7772929888705,-0.773920600930261,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(14, 15)(19, 17)]",DOUBLE,"[(18, 17)(13, 15)]",success
1237660239777563292,51.7781947158802,-0.774160243835425,DOUBLE,"[(28, 29)(22, 26)]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(10, 19)(5, 17)]",success
1237663238204359216,55.2884012419962,-0.216868075502549,SINGLE,"[(72, 61)]",NO_PEAK,"[]",SINGLE,"[(41, 50)]",DOUBLE,"[(41, 50)(50, 50)]",success
1237663783123878007,0.467708042777371,-0.748236517111767,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(14, 47)(14, 48)]",success
1237663783123878006,0.466523484439515,-0.747646272784156,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(25, 42)(25, 43)]",success
1237663783124337599,1.64635635434077,-0.783265260625319,SINGLE,"[(48, 51)]",NO_PEAK,"[]",SINGLE,"[(26, 13)]",DOUBLE,"[(26, 13)(26, 14)]",success
1237663783124402613,1.64769955685632,-0.783230114059304,SINGLE,"[(15, 13)]",NO_PEAK,"[]",SINGLE,"[(14, 13)]",DOUBLE,"[(14, 12)(14, 13)]",success
1237663782589956275,7.32009757337749,-1.16172754839118,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(43, 35)(42, 42)]",DOUBLE,"[(42, 35)(41, 42)]",success
1237657191444251293,5.01382533883151,0.366043132996245,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(34, 58)]",DOUBLE,"[(34, 59)(41, 56)]",success
1237663783664550924,9.15784346610754,-0.336870091464888,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(41, 42)(41, 43)]",success
1237663784202273167,11.0814915090692,0.0898714139121289,NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(12, 53)(13, 52)]",success
1237657190911050007,13.3920171340399,-0.158703946269987,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(51, 50)]",success
1237657190911050005,13.3924061203155,-0.157506387293569,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(46, 39)(47, 39)]",success
1237666340800037305,17.6250133264966,1.13478089249631,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(49, 38)(49, 39)]",success
1237663784205091508,17.6045968086861,0.083945506736264,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 38)]",DOUBLE,"[(51, 38)(55, 31)]",success
1237663782595658008,20.2408371376045,-1.11699987497658,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(51, 40)]",DOUBLE,"[(51, 40)(49, 50)]",success
1237657189840716069,21.1325837959808,-0.994292020528742,NO_PEAK,"[]",DOUBLE,"[(49, 46)(50, 46)]",NO_PEAK,"[]",NO_PEAK,"[]",success
