objid,pid1,photoZ1,photoZ_err1,schlegelZ1,schlegelZ_err1,absMagR1,u1,g1,r1,i1,z1,pid2,photoZ2,photoZ_err2,schlegelZ2,schlegelZ_err2,absMagR2,u2,g2,r2,i2,z2
1237663237128519845,1237663237128519845,0.217488,0.024985,0.1941345,1.822982E-05,-22.3679,20.44377,19.08335,18.01861,17.53239,17.24339,1237663237128519845,0.217488,0.024985,0.1941345,1.822982E-05,-22.3679,20.44377,19.08335,18.01861,17.53239,17.24339
1237663237128717282,1237663237128717093,0.370237,0.087222,null,null,-20.2171,23.76048,24.72163,23.61677,21.95905,20.84112,1237663237128717093,0.370237,0.087222,null,null,-20.2171,23.76048,24.72163,23.61677,21.95905,20.84112
1237663237129044417,1237663237129044418,0.407607,0.095439,null,null,-21.7291,22.20725,21.93529,20.56155,20.05256,19.84679,1237663237129044418,0.407607,0.095439,null,null,-21.7291,22.20725,21.93529,20.56155,20.05256,19.84679
1237663237129044418,1237663237129044418,0.407607,0.095439,null,null,-21.7291,24.57211,22.21106,20.74704,19.99191,19.92542,1237663237129044418,0.407607,0.095439,null,null,-21.7291,24.57211,22.21106,20.74704,19.99191,19.92542
1237663237129109807,1237663237129109807,0.235431,0.038497,null,null,-21.2712,21.71655,20.49546,19.5116,19.00306,18.64423,1237663237129109807,0.235431,0.038497,null,null,-21.2712,21.71655,20.49546,19.5116,19.00306,18.64423
1237663237129306727,1237663237129306727,0.206332,0.097879,null,null,-19.8024,23.65738,21.29935,20.46083,20.04258,19.7566,1237663237129306727,0.206332,0.097879,null,null,-19.8024,23.65738,21.29935,20.46083,20.04258,19.7566
1237663237129437406,1237663237129437406,0.195662,0.035401,null,null,-21.3128,24.22842,20.35825,19.05188,18.57408,18.24945,1237663237129437406,0.195662,0.035401,null,null,-21.3128,24.22842,20.35825,19.05188,18.57408,18.24945
1237663237129437978,1237663237129437489,0.929129,0.095524,null,null,-20.072,23.76291,25.53687,22.54883,22.76366,22.63946,1237663237129437489,0.929129,0.095524,null,null,-20.072,23.76291,25.53687,22.54883,22.76366,22.63946
1237663237129699860,1237663237129699860,0.386552,0.062038,null,null,-21.7299,22.37061,21.54795,20.37761,19.96929,19.44728,1237663237129699860,0.386552,0.062038,null,null,-21.7299,22.37061,21.54795,20.37761,19.96929,19.44728
1237663237129831256,1237663237129831256,0.657597,0.075234,null,null,-20.8142,24.10636,23.46326,22.43266,21.43547,20.9674,1237663237129831256,0.657597,0.075234,null,null,-20.8142,24.10636,23.46326,22.43266,21.43547,20.9674
