objid,bands,pid1,pid2
1237663783667958073,i,1237663783667958073,1237663783667958074
1237657190907314502,g,1237657190907314502,1237657190907314502
1237657190907052737,i,1237657190907053061,1237657190907053061
1237657190906921689,r,1237657190906921689,1237657190906921689
1237657190906855581,i,1237657190906855581,1237657190906855581
1237657190906331582,r,1237657190906331580,1237657190906331582
1237657190906266149,r,1237657190906266149,1237657190906266149
1237657190906265739,u,1237657190906265734,1237657190906265734
1237657190906265677,u,1237657190906265677,1237657190906265661
1237657190906200710,i,1237657190906200710,1237657190906200710
1237657190906134690,i,1237657190906134690,1237657190906134690
1237657190906003872,r,1237657190906003846,1237657190906003846
1237657190905938414,i,1237657190905938411,1237657190905938411
1237657190905937988,i,1237657190905937988,1237657190905937988
1237657190905741442,i,1237657190905741440,1237657190905741443
1237657190905611194,i,1237657190905611192,1237657190905611192
1237657190372016452,i,1237657190372016449,1237657190372016452
