objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237655107308945503,205.396272897227,57.5292453732522,NO_PEAK,"[]",DOUBLE,"[(49, 49)(59, 51)]",DOUBLE,"[(50, 50)(36, 48)]",SINGLE,"[(50, 50)]"
1237655106772074711,205.163139846015,57.2536699216365,NO_PEAK,"[]",DOUBLE,"[(50, 50)(50, 42)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237659324941402413,205.158793918093,57.7733206477718,DOUBLE,"[(21, 23)(27, 28)]",SINGLE,"[(25, 1)]",NO_PEAK,"[]",SINGLE,"[(25, 1)]"
1237659325478338774,205.780331193733,58.2277642355183,NO_PEAK,"[]",SINGLE,"[(49, 51)]",DOUBLE,"[(48, 47)(38, 42)]",NO_PEAK,"[]"
1237655106772008998,205.02702120646,57.2019493547276,NO_PEAK,"[]",DOUBLE,"[(50, 50)(61, 47)]",NO_PEAK,"[]",SINGLE,"[(2, 22)]"
1237655106772009088,204.915660161438,57.3103240729262,NO_PEAK,"[]",SINGLE,"[(51, 50)]",DOUBLE,"[(50, 51)(63, 62)]",DOUBLE,"[(50, 50)(63, 62)]"
1237655107308814575,204.99700639436,57.6302676683841,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(58, 50)]",DOUBLE,"[(50, 50)(58, 51)]"
1237659324941336720,204.799414222539,57.900719103846,NO_PEAK,"[]",DOUBLE,"[(50, 50)(53, 42)]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]"
1237655107845685421,205.241918243094,58.0448712271487,SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(41, 57)]",DOUBLE,"[(50, 50)(41, 57)]",DOUBLE,"[(49, 50)(40, 57)]"
1237665128028177305,238.689578287552,22.2266249452433,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(1, 60)(9, 51)]",DOUBLE,"[(8, 51)(1, 60)]"
1237665373869507437,238.58432809529,21.2985601979482,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(20, 20)]",DOUBLE,"[(14, 18)(19, 20)]"
1237664852580368632,238.809314773528,23.6751255811488,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(49, 25)]",DOUBLE,"[(49, 25)(44, 34)]"
1237664852043498174,238.685083591191,23.3681569129251,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(19, 30)(23, 36)]"
1237665128565113020,238.912190739091,22.438547107421,NO_PEAK,"[]",SINGLE,"[(45, 42)]",DOUBLE,"[(44, 43)(50, 50)]",DOUBLE,"[(45, 44)(51, 50)]"
1237662695964083145,239.045074106876,22.935167843402,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(42, 49)(51, 50)]"
1237664852580500053,239.146401001299,23.6302839005883,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(48, 45)]",SINGLE,"[(50, 50)]"
1237663479257039499,329.311140178369,0.0989349652466063,SINGLE,"[(23, 30)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(43, 56)]"
1237648720699327191,192.498490454606,-0.566600509702945,SINGLE,"[(54, 97)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(53, 58)]",DOUBLE,"[(51, 50)(54, 58)]"
1237648704044007872,192.003760915486,-0.386843066877737,SINGLE,"[(49, 36)]",SINGLE,"[(41, 53)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 49)(41, 53)]"
1237648703507071436,191.88343315401,-0.79376603509986,DOUBLE,"[(20, 22)(25, 25)]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237671266033008935,191.391967668766,-1.22689159389607,SINGLE,"[(25, 79)]",NO_PEAK,"[]",SINGLE,"[(21, 57)]",DOUBLE,"[(50, 50)(57, 42)]"
1237671763712672517,191.511918195655,-0.317994441320499,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(52, 54)]",DOUBLE,"[(50, 50)(53, 54)]"
1237671764249739945,191.288541443681,0.134087813512492,NO_PEAK,"[]",SINGLE,"[(40, 20)]",SINGLE,"[(40, 20)]",DOUBLE,"[(40, 20)(39, 26)]"
1237671764249215706,191.080410564275,-1.06314319849937,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(44, 48)]"
1237671764249543236,191.203819982334,-0.330595105016076,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(27, 44)]",DOUBLE,"[(13, 35)(27, 44)]"
1237671764249674488,191.189534301204,0.0161773867303114,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(43, 7)(47, 1)]",DOUBLE,"[(46, 1)(43, 7)]"
1237671764786020546,190.720240816476,-1.27007728675136,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(43, 38)]",DOUBLE,"[(43, 38)(50, 50)]"
1237655467525079320,228.218360863367,0.658443487415672,NO_PEAK,"[]",DOUBLE,"[(50, 50)(49, 56)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237648704596738478,228.349221398463,0.0351544788283001,NO_PEAK,"[]",SINGLE,"[(45, 41)]",DOUBLE,"[(50, 50)(45, 40)]",DOUBLE,"[(51, 50)(45, 41)]"
1237655468599083504,228.815887150536,1.41264498598067,SINGLE,"[(19, 25)]",NO_PEAK,"[]",SINGLE,"[(43, 45)]",DOUBLE,"[(44, 45)(51, 50)]"
1237648721789059512,228.939352000795,0.271790384885793,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(56, 48)]",DOUBLE,"[(56, 48)(50, 49)]"
1237655468062278266,228.999483238837,0.986001355943264,NO_PEAK,"[]",SINGLE,"[(62, 55)]",DOUBLE,"[(61, 55)(51, 50)]",SINGLE,"[(29, 20)]"
1237648721789059878,229.031890715525,0.322306090577685,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(42, 9)]",DOUBLE,"[(42, 8)(49, 4)]"
1237648705133936953,229.042365836838,0.461387191505275,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 49)]",DOUBLE,"[(50, 50)(70, 41)]"
1237648704597065924,229.074722029662,0.0890481371391804,NO_PEAK,"[]",SINGLE,"[(29, 34)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(29, 34)]"
1237648705670873341,229.188170622169,0.864275887197212,NO_PEAK,"[]",SINGLE,"[(39, 45)]",DOUBLE,"[(39, 45)(49, 49)]",DOUBLE,"[(39, 46)(60, 58)]"
1237655467525472364,229.113197969614,0.648374651518006,SINGLE,"[(54, 35)]",DOUBLE,"[(55, 32)(55, 38)]",DOUBLE,"[(54, 31)(54, 37)]",NO_PEAK,"[]"
1237648704597197655,229.299405575935,0.0331800438084589,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(59, 42)]",DOUBLE,"[(50, 50)(59, 42)]"
1237655468062474437,229.387058902282,1.15134332538621,NO_PEAK,"[]",DOUBLE,"[(58, 61)(50, 50)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237648705134068225,229.375070657339,0.525741351168339,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(53, 45)(51, 50)]"
1237648721789256186,229.472380372412,0.25814735544003,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(56, 48)(50, 50)]",DOUBLE,"[(51, 50)(56, 48)]"
1237648722295194224,158.801697661078,0.818473919803427,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(26, 56)]",DOUBLE,"[(25, 56)(22, 66)]"
1237648721758388385,158.966418801166,0.329968669235841,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(28, 3)]",DOUBLE,"[(27, 4)(5, 12)]"
