objid,ra,dec
1237663782595003034,18.8523223022776,-1.21403854591069
1237663782595003040,18.8571671432256,-1.25787951686475
1237663782595003077,18.716833369356,-1.06460166312407
1237663782595003239,18.8165766740069,-1.07485707078053
1237663782595003316,18.8602935059105,-1.08444868782557
1237663782595068167,18.9818757317422,-1.18260052303826
1237663782595068168,18.9832198066238,-1.10982944515681
1237663782595068251,18.9006258847368,-1.11961767486068
1237663782596182468,21.4296479080124,-1.22368338868876
1237663782596182682,21.5367145287013,-1.14106235433815
1237663782596182747,21.4054345425061,-1.05261366824703
1237663782596182820,21.4308595101837,-1.1247465093248
1237663782596182893,21.4746528688876,-1.07610336314441
1237663782596183037,21.4233239706741,-1.24097914990511
1237663782596183050,21.435938104706,-1.18173643067241
1237663782596183152,21.5412739464309,-1.14398781983582
1237663782595134107,19.0738027652032,-1.18904041937273
1237663782595134152,19.1031920848697,-1.05286076693555
1237663782595134219,19.1567024389447,-1.16343207577045
1237663782596313350,21.7612553969538,-1.22888478089351
1237663782596313384,21.792753255683,-1.06356606448052
1237663782596313930,21.8033727354626,-1.17550448725858
1237663782595264534,19.3525115029066,-1.06559121097569
1237663782595264656,19.3285872815906,-1.19970352633082
1237663782595264882,19.4345100187415,-1.08942283194751
1237663782595264941,19.3194110019871,-1.08446953205825
1237663782596314086,21.761510575882,-1.23243084567027
1237663782596314220,21.792834119435,-1.20684049413649
1237663782596378719,21.8991638892999,-1.06862807864598
1237663782596378863,22.000343126737,-1.13249036224826
1237663782596378875,21.8725765105302,-1.23626858933795
1237663782596379045,21.9432127680213,-1.08823530710281
1237663782596379073,21.9879066006475,-1.1109036389559
1237663782596379091,21.8559616414486,-1.13436167563638
1237663782596379272,21.9491680783226,-1.0795504083437
1237663782596379532,21.9339839582191,-1.06926021497411
1237663782596379536,21.9378247151958,-1.25604743812557
1237663782596379542,21.9410840581214,-1.09090643933543
1237663782596379562,21.9493687426549,-1.0830779766949
1237663782596379602,21.9699326334288,-1.21319596314943
1237663782596379605,21.9735710591376,-1.10334543867314
1237663782596379648,22.0012559185361,-1.21942522186819
1237663782596379697,21.8976587920531,-1.14396287209657
1237663782596379710,21.9078631050708,-1.08620558358311
1237663782596379822,21.9450433132365,-1.22443792085729
1237663782596379823,21.9892758936367,-1.19219759022538
1237663782596444462,22.1255531546753,-1.15702934435867
1237663782596444547,22.0403579354222,-1.2474095055473
1237663782596444566,22.0489252296328,-1.12545237441794
1237663782596444572,22.0528374306827,-1.23504485993762
1237663782596444742,22.1418031864216,-1.12772553657643
1237663782596444785,22.0078303919449,-1.18323862827458
1237663782596444839,22.0378073090411,-1.20401265447278
1237663782596444840,22.0379662800856,-1.11619863322957
1237663782596444854,22.0487464565187,-1.13442570544156
1237663782596444939,22.0974694216603,-1.05373679430121
1237663782596444987,22.1253305749351,-1.18758871163003
1237663782596509971,22.2197925887375,-1.14687763491182
1237663782596509996,22.2758106746075,-1.2236641774022
1237663782595330338,19.511789201914,-1.06344664813614
1237663782595330467,19.4660641269676,-1.23690550309101
1237663782595330524,19.4827712761986,-1.10420257222979
1237663782596510056,22.1720276593348,-1.16732079496206
1237663782596510096,22.2070415118218,-1.23002859096802
1237663782596510126,22.2280634967927,-1.08385044131735
1237663782596510153,22.2416492221499,-1.16504351251818
1237663782596510154,22.2431732561333,-1.15287611434772
1237663782596510188,22.2580909079354,-1.07838657960617
1237663782596510217,22.2740556899148,-1.1874617193558
1237663782596510266,22.2954275971084,-1.21980958558634
1237663782596510366,22.1909264645385,-1.08352186242767
1237663782596510396,22.2059385200226,-1.23517642710937
1237663782596510432,22.2304132214473,-1.05450092410498
1237663782596510487,22.2608177275006,-1.18228366677567
1237663782596510511,22.2689944571726,-1.06935017760106
1237663782596510583,22.3022529674105,-1.10040586430807
1237663782596510615,22.1568086105631,-1.14409428431713
1237663782596510634,22.1744200497838,-1.1217073852483
1237663782596510659,22.2062887229445,-1.06765651889353
1237663782596510695,22.2565371454673,-1.10915889382234
1237663782596510760,22.289952305216,-1.10349955620603
1237663782595396032,19.7365794449418,-1.08514337775454
1237663782595396144,19.634242429755,-1.25052897397977
1237663782595396171,19.6448605993808,-1.18080965284895
1237663782595396177,19.6496900096577,-1.13665688324064
1237663782595396283,19.7035749417329,-1.19706659661385
1237663782595396289,19.7059130602522,-1.24942412949476
1237663782595396348,19.7328694198709,-1.15732153982654
1237663782595396400,19.7511714928935,-1.20736187156573
1237663782595396494,19.6414867732913,-1.10266384095787
1237663782595396505,19.6441550741961,-1.20116558088821
1237663782596575291,22.4118600542255,-1.05880072066875
1237663782596575962,22.3193664791183,-1.08429950597968
1237663782596575969,22.3242231715781,-1.1681960265645
1237663782596575985,22.3373259934263,-1.09267241073313
1237663782596576005,22.3507464872634,-1.14522618732184
1237663782596576028,22.3671486179247,-1.09471521176913
1237663782596576040,22.3808153425309,-1.22892555325693
1237663782596576048,22.3861179260148,-1.23459906748005
1237663782596576063,22.3979740172382,-1.24644966026528
1237663782596576082,22.4127125471857,-1.21925498144237
