objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237663456703021518,317.802499564824,-0.696631826077724,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(44, 7)]",DOUBLE,"[(44, 8)(41, 1)]"
1237663456702955571,317.656203737966,-0.652529704498779,NO_PEAK,"[]",SINGLE,"[(61, 67)]",DOUBLE,"[(61, 68)(50, 50)]",DOUBLE,"[(62, 69)(50, 50)]"
1237663456702890724,317.60275870323,-0.687251832392973,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(62, 51)]"
1237678617399198478,317.400848145008,0.622729815311374,DOUBLE,"[(16, 13)(19, 28)]",SINGLE,"[(50, 50)]",SINGLE,"[(34, 9)]",SINGLE,"[(34, 9)]"
1237678617399198335,317.475754125325,0.536923828895235,NO_PEAK,"[]",DOUBLE,"[(50, 50)(60, 54)]",DOUBLE,"[(50, 50)(60, 54)]",DOUBLE,"[(50, 50)(60, 54)]"
1237678617399132295,317.277338520286,0.55831915577101,SINGLE,"[(43, 34)]",SINGLE,"[(43, 34)]",SINGLE,"[(43, 35)]",DOUBLE,"[(43, 35)(50, 50)]"
1237654671349121325,156.641677352334,0.872940052348513,NO_PEAK,"[]",SINGLE,"[(49, 50)]",DOUBLE,"[(49, 50)(44, 40)]",NO_PEAK,"[]"
1237651801773899929,156.67212446952,0.623822546888791,SINGLE,"[(24, 17)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 49)]",DOUBLE,"[(50, 50)(41, 44)]"
1237651801237094710,156.782412948789,0.0994544602428242,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 25)(58, 25)]"
1237648721757405352,156.713125036489,0.211089928485806,NO_PEAK,"[]",DOUBLE,"[(67, 48)(50, 50)]",DOUBLE,"[(67, 49)(50, 50)]",DOUBLE,"[(67, 48)(50, 50)]"
1237654671349252123,156.958371850542,0.848894981313385,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(48, 68)]",DOUBLE,"[(48, 67)(50, 50)]"
1237648722831278198,156.931708610366,1.19395393621861,SINGLE,"[(40, 24)]",DOUBLE,"[(50, 51)(40, 24)]",DOUBLE,"[(50, 51)(40, 24)]",DOUBLE,"[(50, 50)(42, 23)]"
1237651752389509264,156.681128620191,1.0061460597201,NO_PEAK,"[]",DOUBLE,"[(50, 50)(66, 54)]",DOUBLE,"[(50, 50)(67, 55)]",DOUBLE,"[(50, 50)(66, 54)]"
1237648722294341801,156.808512179,0.818741982425562,SINGLE,"[(50, 50)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(64, 38)]"
1237651801774096397,157.086962854679,0.559889802378632,NO_PEAK,"[]",SINGLE,"[(56, 61)]",SINGLE,"[(56, 61)]",DOUBLE,"[(56, 61)(50, 50)]"
1237651801237291123,157.221397295797,0.111668474733125,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(72, 55)(51, 50)]"
1237654669202686096,159.033752823087,-0.655841341955246,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(40, 60)]",DOUBLE,"[(50, 50)(41, 60)]"
1237648720684646616,159.007791083565,-0.630133113896423,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(56, 61)]"
1237654669739557052,159.0412049398,-0.365818599341531,NO_PEAK,"[]",SINGLE,"[(41, 48)]",DOUBLE,"[(50, 50)(41, 48)]",DOUBLE,"[(41, 48)(50, 50)]"
1237648720684712080,159.04289323396,-0.457864459174419,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]",DOUBLE,"[(50, 50)(60, 43)]"
1237648721221583000,159.059541967857,-0.159019119711562,DOUBLE,"[(50, 51)(54, 58)]",DOUBLE,"[(50, 50)(51, 35)]",DOUBLE,"[(51, 50)(51, 35)]",SINGLE,"[(50, 50)]"
1237648720684712156,159.134349575559,-0.487047809055089,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(30, 56)(50, 50)]",NO_PEAK,"[]"
1237648720147513541,158.371095637444,-0.860411431236357,NO_PEAK,"[]",DOUBLE,"[(50, 50)(59, 63)]",DOUBLE,"[(50, 50)(59, 63)]",SINGLE,"[(50, 50)]"
1237654668665552979,158.410964967438,-1.19980540368853,NO_PEAK,"[]",SINGLE,"[(35, 37)]",SINGLE,"[(36, 37)]",DOUBLE,"[(35, 37)(50, 50)]"
1237654669739557182,158.993467221649,-0.372010009349092,SINGLE,"[(33, 36)]",NO_PEAK,"[]",DOUBLE,"[(45, 40)(50, 50)]",DOUBLE,"[(45, 40)(50, 50)]"
1237654669739556966,159.028883900136,-0.383417295298883,SINGLE,"[(51, 55)]",SINGLE,"[(52, 55)]",SINGLE,"[(59, 34)]",DOUBLE,"[(59, 34)(50, 49)]"
1237648721221517527,158.97335281754,-0.056488268438244,NO_PEAK,"[]",DOUBLE,"[(50, 50)(60, 54)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237648720147448132,158.186623887907,-0.996123240747687,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(51, 50)(14, 35)]"
1237654669202358465,158.331112666713,-0.695029578744358,NO_PEAK,"[]",DOUBLE,"[(50, 50)(47, 55)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237648720147317038,157.896389369915,-0.940129800106229,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(61, 64)]"
1237648720147317149,157.950427694067,-0.970646551025456,NO_PEAK,"[]",SINGLE,"[(51, 49)]",DOUBLE,"[(50, 50)(48, 40)]",DOUBLE,"[(50, 50)(47, 40)]"
1237654669202161756,157.819508558329,-0.670209461762212,NO_PEAK,"[]",DOUBLE,"[(50, 50)(60, 53)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 51)]"
1237648720684384422,158.399139942095,-0.491674701275375,SINGLE,"[(42, 46)]",SINGLE,"[(41, 46)]",DOUBLE,"[(50, 50)(41, 45)]",NO_PEAK,"[]"
1237655129301189158,245.552115909932,46.0450500609951,DOUBLE,"[(51, 51)(61, 46)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 51)]",NO_PEAK,"[]"
1237655129300992494,245.048931717608,46.3379515925318,NO_PEAK,"[]",DOUBLE,"[(50, 50)(57, 60)]",SINGLE,"[(5, 17)]",NO_PEAK,"[]"
1237655129301057728,245.100544790566,46.2833763817292,DOUBLE,"[(50, 50)(56, 56)]",SINGLE,"[(50, 49)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237655465931833496,243.384793661448,46.7977980917449,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 49)(46, 64)]"
1237655129300861089,244.900764084473,46.6352606849604,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(49, 51)]",DOUBLE,"[(80, 27)(66, 59)]"
1237665355624481027,245.297704040351,45.5604123127917,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(48, 5)]",DOUBLE,"[(50, 50)(50, 64)]"
1237665355624546520,245.212886922522,45.6631568071899,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(36, 48)]",DOUBLE,"[(50, 50)(35, 48)]"
1237655128764252426,244.956945621673,45.8775484442824,NO_PEAK,"[]",DOUBLE,"[(50, 50)(47, 66)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237655349967126862,243.740350433366,46.7292345082531,NO_PEAK,"[]",DOUBLE,"[(46, 61)(50, 50)]",DOUBLE,"[(47, 61)(50, 50)]",DOUBLE,"[(46, 61)(49, 50)]"
1237655349967454292,244.377401507879,46.091696297406,DOUBLE,"[(50, 50)(61, 64)]",DOUBLE,"[(50, 50)(61, 56)]",DOUBLE,"[(50, 50)(38, 37)]",DOUBLE,"[(50, 50)(36, 40)]"
1237655349967454394,244.240037784351,46.129363390849,NO_PEAK,"[]",DOUBLE,"[(50, 50)(42, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]"
1237655349967061386,243.626861357491,46.8755255776108,NO_PEAK,"[]",SINGLE,"[(36, 47)]",SINGLE,"[(37, 48)]",DOUBLE,"[(50, 50)(37, 47)]"
1237655129837142229,244.074688619904,47.9815981938041,NO_PEAK,"[]",DOUBLE,"[(50, 50)(66, 61)]",DOUBLE,"[(50, 50)(36, 42)]",NO_PEAK,"[]"
1237655129300336816,243.663586412005,47.5776925135953,DOUBLE,"[(50, 51)(57, 31)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237655129837338695,244.41234724651,47.5440957558806,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(40, 57)]",DOUBLE,"[(40, 56)(50, 50)]"
1237673706652303528,116.051943231467,42.2872308380203,NO_PEAK,"[]",DOUBLE,"[(49, 60)(51, 48)]",DOUBLE,"[(48, 60)(50, 49)]",NO_PEAK,"[]"
1237651496830238876,116.782600601174,43.3140511015954,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(13, 59)]"
1237651496830370024,117.038613036549,43.5906816793774,NO_PEAK,"[]",DOUBLE,"[(50, 50)(52, 70)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237651496830107976,116.532633030903,43.0628424087247,NO_PEAK,"[]",DOUBLE,"[(51, 50)(40, 49)]",DOUBLE,"[(51, 50)(40, 49)]",SINGLE,"[(50, 50)]"
1237651274029203474,116.201093268273,42.90180419123,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(51, 73)(50, 50)]",NO_PEAK,"[]"
1237651274029269461,116.357912349193,43.0645854002247,NO_PEAK,"[]",SINGLE,"[(51, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 49)(44, 39)]"
1237651273492660277,117.314086405417,43.3399521358547,DOUBLE,"[(50, 51)(55, 69)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237651273492726192,117.200038541606,43.5342764888168,NO_PEAK,"[]",DOUBLE,"[(37, 62)(34, 66)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237651496830173370,116.693700410569,43.2163105501778,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(63, 48)]",DOUBLE,"[(50, 50)(62, 48)]"
1237651496830173526,116.609393476804,43.2046234834848,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(58, 35)]"
1237651273492398319,116.631147970597,42.891388384517,DOUBLE,"[(51, 36)(50, 50)]",DOUBLE,"[(51, 37)(50, 50)]",DOUBLE,"[(51, 37)(50, 50)]",DOUBLE,"[(51, 37)(50, 50)]"
1237651496830501001,117.341561814999,43.7672345412421,SINGLE,"[(24, 30)]",DOUBLE,"[(50, 50)(25, 31)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237651273492791441,117.531884723679,43.644497569872,DOUBLE,"[(64, 69)(65, 76)]",DOUBLE,"[(65, 67)(66, 77)]",DOUBLE,"[(62, 67)(66, 66)]",DOUBLE,"[(65, 68)(66, 78)]"
1237651273492791450,117.566883419968,43.6539062009611,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(65, 53)]",DOUBLE,"[(66, 53)(50, 50)]"
1237651496293564703,117.543207734134,43.5527756211397,NO_PEAK,"[]",DOUBLE,"[(54, 59)(50, 50)]",DOUBLE,"[(55, 59)(50, 50)]",DOUBLE,"[(55, 59)(50, 50)]"
1237651273492922485,117.656503484964,43.9572683200735,NO_PEAK,"[]",DOUBLE,"[(58, 1)(48, 1)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 49)]"
1237651496293630251,117.634251654647,43.5994095301522,NO_PEAK,"[]",DOUBLE,"[(50, 50)(48, 38)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237651496293564637,117.681786150562,43.3709964197948,NO_PEAK,"[]",DOUBLE,"[(50, 51)(44, 66)]",SINGLE,"[(50, 51)]",NO_PEAK,"[]"
1237651272955658509,117.490603491793,42.8764073829849,NO_PEAK,"[]",DOUBLE,"[(50, 49)(63, 60)]",DOUBLE,"[(49, 49)(62, 59)]",DOUBLE,"[(51, 50)(63, 59)]"
1237651495756497279,117.766236541262,42.9153585952463,NO_PEAK,"[]",SINGLE,"[(49, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(39, 28)]"
1237651495756497152,117.764167963146,42.803632863537,NO_PEAK,"[]",DOUBLE,"[(50, 50)(32, 51)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237651272955920758,117.921687216,43.5320426717254,NO_PEAK,"[]",DOUBLE,"[(50, 50)(45, 57)]",DOUBLE,"[(49, 50)(44, 57)]",SINGLE,"[(50, 50)]"
1237651272956051591,118.178997366177,43.7485369517879,NO_PEAK,"[]",SINGLE,"[(25, 7)]",SINGLE,"[(24, 8)]",DOUBLE,"[(25, 7)(24, 15)]"
1237651272955986294,118.197270833071,43.5870120872401,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(60, 62)]",NO_PEAK,"[]"
1237651495219757355,118.551933079257,42.8925520164098,SINGLE,"[(38, 40)]",SINGLE,"[(38, 41)]",DOUBLE,"[(38, 40)(44, 35)]",DOUBLE,"[(38, 40)(50, 50)]"
1237651495220019571,118.888116340674,43.4199899854328,NO_PEAK,"[]",DOUBLE,"[(50, 50)(53, 65)]",SINGLE,"[(49, 49)]",SINGLE,"[(50, 50)]"
1237651328253100111,118.452839107127,43.4668705415695,SINGLE,"[(31, 47)]",DOUBLE,"[(31, 47)(50, 49)]",DOUBLE,"[(31, 47)(50, 49)]",DOUBLE,"[(31, 47)(50, 49)]"
1237651067891941535,195.527535891723,65.7959396747124,NO_PEAK,"[]",DOUBLE,"[(50, 50)(50, 37)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237654611217613023,195.427262561936,65.677141595409,NO_PEAK,"[]",DOUBLE,"[(57, 48)(51, 50)]",DOUBLE,"[(51, 50)(57, 48)]",NO_PEAK,"[]"
1237654611217678425,195.729899228748,65.5306473793269,SINGLE,"[(51, 50)]",DOUBLE,"[(50, 51)(55, 45)]",DOUBLE,"[(51, 50)(56, 45)]",DOUBLE,"[(50, 50)(55, 45)]"
1237651250964004982,195.003045376838,64.5734945959802,SINGLE,"[(41, 45)]",DOUBLE,"[(41, 44)(50, 50)]",DOUBLE,"[(40, 44)(50, 50)]",DOUBLE,"[(40, 43)(50, 50)]"
1237654611217809549,196.410107768281,65.432489651762,DOUBLE,"[(50, 51)(2, 42)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237651067892006994,196.03447610491,65.8656899466508,NO_PEAK,"[]",DOUBLE,"[(40, 99)(50, 50)]",DOUBLE,"[(40, 95)(50, 49)]",NO_PEAK,"[]"
1237654610680807453,195.651840875811,65.1495002755345,NO_PEAK,"[]",SINGLE,"[(50, 49)]",DOUBLE,"[(52, 47)(47, 53)]",SINGLE,"[(50, 50)]"
1237654610680807589,195.836435716873,65.1369379811059,NO_PEAK,"[]",DOUBLE,"[(50, 50)(57, 43)]",DOUBLE,"[(50, 50)(32, 59)]",DOUBLE,"[(50, 50)(57, 44)]"
1237654876435972220,195.319344932062,65.0011457796015,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(40, 90)(50, 50)]"
1237654610144067958,196.120141864732,64.6604618530552,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(34, 42)]",DOUBLE,"[(50, 50)(49, 30)]"
1237654876436103239,195.90358787434,65.007350317901,NO_PEAK,"[]",DOUBLE,"[(50, 50)(33, 33)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237654611217940742,197.233867002198,65.5224817536287,NO_PEAK,"[]",SINGLE,"[(4, 1)]",SINGLE,"[(4, 1)]",DOUBLE,"[(4, 1)(50, 50)]"
1237651067892269131,197.2213655235,65.6644420651222,NO_PEAK,"[]",DOUBLE,"[(50, 50)(62, 50)]",DOUBLE,"[(78, 92)(78, 99)]",NO_PEAK,"[]"
1237654611218006130,197.553802653512,65.4799228456713,DOUBLE,"[(51, 62)(56, 50)]",DOUBLE,"[(50, 50)(51, 62)]",DOUBLE,"[(50, 51)(51, 62)]",DOUBLE,"[(51, 51)(51, 62)]"
1237654611218071714,197.955076429444,65.3507393049526,NO_PEAK,"[]",DOUBLE,"[(50, 50)(66, 50)]",SINGLE,"[(50, 49)]",SINGLE,"[(50, 50)]"
1237654611218137136,198.390871358372,65.3860997967991,DOUBLE,"[(53, 55)(49, 45)]",SINGLE,"[(51, 51)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237654610681397448,198.793794993566,64.839069116707,NO_PEAK,"[]",DOUBLE,"[(47, 55)(49, 50)]",DOUBLE,"[(49, 50)(48, 55)]",NO_PEAK,"[]"
1237654876436627596,198.870583079303,64.7267328816301,NO_PEAK,"[]",DOUBLE,"[(50, 51)(44, 64)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237654610681397504,198.758375374833,64.825403047722,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(49, 40)]",DOUBLE,"[(50, 50)(49, 40)]"
1237654610144526630,198.609846709572,64.5777384720798,SINGLE,"[(28, 29)]",SINGLE,"[(26, 28)]",DOUBLE,"[(26, 22)(26, 28)]",DOUBLE,"[(27, 22)(26, 28)]"
1237654611218202772,198.854584259304,65.266426016543,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(43, 60)]",DOUBLE,"[(50, 50)(42, 60)]"
1237651067355791554,199.149018099659,65.1590586074745,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(43, 50)]",DOUBLE,"[(51, 50)(43, 50)]"
1237648720173793606,218.449706391375,-0.855419557049415,NO_PEAK,"[]",DOUBLE,"[(50, 50)(46, 59)]",NO_PEAK,"[]",NO_PEAK,"[]"
