objid,ra,dec
1237679997694379228,334.09897962369,-1.94486578563121
1237679998231249923,334.089768614919,-1.63094686510413
1237678881546109496,333.942698365619,-1.32009634651188
1237656906343580732,333.811656623634,-0.880091988588716
1237656906343645701,333.832254249735,-0.958723608318719
1237678881009173061,333.785992739439,-1.89440866599479
1237679998231183902,333.863699128537,-1.71689199794976
1237679998231184126,333.943335546861,-1.65541975740157
1237679998231118239,333.74401847149,-1.69177140268674
1237679998231053311,333.669756296425,-1.66186054665706
1237678881546043911,333.798837830061,-1.48269823691535
1237678881546043858,333.779223830547,-1.34621411408585
1237656567047586863,333.726319080421,-1.09741946438075
1237656567047586560,333.617441964432,-1.17201823431329
1237656567047652324,333.752645263481,-1.19769141292942
1237656906343580820,333.738107800163,-1.0289543303113
1237656906343580210,333.698687390754,-1.01563798146977
1237656906343514600,333.611807915859,-1.00108688110512
1237656906343514440,333.584354906444,-0.918788026750092
1237656906343514502,333.601918294987,-0.927483059667027
1237656906343515187,333.602036853275,-0.865079725299061
1237656906343514807,333.589410247263,-0.899620054258259
1237679997694182563,333.668705359108,-1.95783512452241
1237678881009042362,333.564579635571,-1.81548696929091
1237678881009042457,333.48510308517,-1.72009356588169
1237678881009042284,333.51277576787,-1.81290450883347
1237678881545913148,333.483082191607,-1.43712919981447
1237678881545848020,333.397919536099,-1.41395994113326
1237679998231052925,333.616990608951,-1.62115668291154
1237656567047455957,333.404804069623,-1.19532880310744
1237678881545912921,333.525892529069,-1.31536533828203
1237656906343514756,333.568964470976,-1.01495541695321
1237678881545913138,333.478880519735,-1.33138475471739
1237656906343514736,333.561957075482,-0.95011431517262
1237679998767858278,333.514847056526,-1.25978534733193
1237656906343514676,333.531470089568,-0.965313423779736
1237656567047455988,333.441757955648,-1.20978564661297
1237656906343514693,333.538391199238,-0.936429780399065
1237656906343449743,333.440754834381,-0.869867959934454
1237656906343514138,333.524009202864,-0.923168623621548
1237678881545847225,333.405261181206,-1.36256878840144
1237678881545782389,333.323222775677,-1.38444505246962
1237656567047390365,333.213161443126,-1.20362765145977
1237656567047389918,333.257042843858,-1.17553869420622
1237678881545781321,333.308578574437,-1.3177850093455
1237656567047390247,333.280742583332,-1.1504882242385
1237656906343383914,333.270326847279,-0.885617580386449
1237656567047390339,333.193830159174,-1.06185949531744
1237656906343318700,333.206716886456,-0.91821216695658
1237663478721872632,333.247903670167,-0.268325022867606
1237663478721873206,333.19806975388,-0.351359936050034
1237663478721872614,333.240929420116,-0.324456836027175
1237663478721873242,333.253128278847,-0.345017948972351
1237663542610559581,333.257907443623,-0.470302326568522
1237663542610559616,333.267185642549,-0.530054555624446
1237663542610559974,333.237189976208,-0.575810741060511
1237656567584261279,333.222698795801,-0.63911862278715
1237656567584260738,333.185555653115,-0.713362926102418
1237656567584195630,333.126283409913,-0.762893911656945
1237656567584260842,333.22173734959,-0.807947554961925
1237663543147431286,333.296922910986,-0.13683964611731
1237663478721938382,333.325662902379,-0.305861383367552
1237663542610560149,333.368784497679,-0.428866008832253
1237663542610560340,333.298595408474,-0.552446136380754
1237656567584326000,333.397033664916,-0.795100829320868
1237656567584326620,333.35949313833,-0.834167803915985
1237663479258874566,333.504974854873,0.0953928367068233
1237663543147497051,333.479117759174,-0.0162310544146323
1237663543147496803,333.456625058241,-0.0331636565575363
1237663543147496346,333.449604685204,-0.0617083641807629
1237663543147561736,333.566818848905,-0.0631173314974202
1237663543147562046,333.532348193361,-0.100383804655723
1237663543147495988,333.370171049193,-0.133183493193538
1237663478722004086,333.565664956252,-0.22303075830535
1237663478722069645,333.619760975268,-0.26820101117681
1237663478722069762,333.633902384457,-0.346438837653228
1237663478722003821,333.580711958853,-0.308652563029063
1237656567584457238,333.659124591733,-0.760501223899786
1237656567584457710,333.688365591213,-0.750363081284092
1237656567584391880,333.574155884161,-0.666971708451912
1237663479259005718,333.807796752015,0.191504937153644
1237663479259005852,333.855756477882,0.181824539707174
1237663543147431254,333.269314373197,-0.138737944589319
1237663543147627504,333.690209203881,-0.0543268943095406
1237663543147627600,333.816106050431,-0.019302412700891
1237663543147561927,333.63498208811,-0.0709772038251551
1237663543147757957,333.980538459372,-0.179581321702829
1237663478722135059,333.872622063729,-0.293213536956864
1237663478722069626,333.760671029316,-0.259014437291761
1237663543147627599,333.815670785758,-0.203755330857534
1237663478722135020,333.841200221658,-0.316271525014778
1237663542610822099,333.926810837996,-0.569183272405964
1237663542610821561,333.911213592138,-0.539160702590708
1237656567584457619,333.744272955891,-0.683788991413418
1237656567584523269,333.762501623204,-0.692164421505446
1237663543684629223,334.008682019272,0.22290573481118
1237663479796007830,334.070326735442,0.447648153955647
1237663479259071566,334.052597739262,0.18920379948922
1237663479259071009,333.919757081746,0.148323742988586
1237663479259071216,334.012354896201,0.0693461177402722
1237663479259071605,333.930495569596,0.122277425112235
1237663543147758576,333.971690006976,-0.140897029944054
1237663543147758743,334.107011862393,-0.15534485845132
1237663542610887778,334.048558731217,-0.425090806439723
1237663478722265787,334.144264709275,-0.345053111731719
1237663542610887332,334.051715973533,-0.563592575827799
1237656567584654228,334.074672580718,-0.663242392884753
1237656567584653785,334.128938705298,-0.695598560794514
1237663542610887078,334.094182540753,-0.629052705443244
1237656567584654456,334.07744986,-0.739882775351806
1237663543684694855,334.228872735134,0.364852051341549
1237663479796007628,334.146072995971,0.426546777246851
1237663543684694462,334.149747012986,0.238693348581798
1237663543684694768,334.203226261778,0.360586048041117
1237663543147823558,334.242973996628,-0.0305631393423632
1237663479259136376,334.111280194813,0.0684453118773428
1237663479259137050,334.111761944227,0.0464760512180735
1237663543147824294,334.242180282748,-0.142670318314587
1237663478722331114,334.217335269013,-0.404522155423564
1237663542610952624,334.155841420109,-0.507714304138051
1237663542610953473,334.22816412386,-0.631033774270212
1237656567584720020,334.304828697242,-0.738194785170161
1237663479259267894,334.438813365918,0.16274766993376
1237663543684825524,334.424157232783,0.374875473105661
1237663479259201765,334.313239369742,0.20005407931386
1237663444364886991,334.424118326027,-0.0990734913413369
1237656567584850356,334.51264127118,-0.721624211489885
1237663479796139144,334.478323673352,0.592153365653363
1237663544221696145,334.472814707802,0.670758153740633
1237663479796204552,334.591159862853,0.523960097337257
1237663479259267681,334.46852262621,0.157230610998011
1237663444364952499,334.545045212819,-0.06063266572685
1237663479259268142,334.448562349013,0.180756449681252
1237663479259267631,334.441982776995,0.124612931118067
1237663444364887053,334.508237318959,-0.026161813666939
1237663543148020877,334.657710862455,-0.140300940428528
1237663543148085437,334.75242316039,-0.169258665154162
1237656568121786792,334.658231857643,-0.337737953690223
1237663478722528091,334.740990526905,-0.285079291971924
1237656576701367257,334.604256806701,-0.388405355013093
1237663542611149926,334.641278154705,-0.449365399980357
1237656567584850523,334.583756161578,-0.683392262857053
1237656567584916492,334.676543451422,-0.727289907250836
1237656567584916443,334.651454321898,-0.748645249866577
1237663479796269578,334.660997817465,0.598992540903479
1237663479796204729,334.629725451855,0.45365586705587
1237663543684956195,334.719850411754,0.256586576108896
1237663543684957459,334.768833315611,0.338506029063836
1237663479259333872,334.635699217974,0.0877974785186311
1237663478722528141,334.779430198515,-0.273153351084572
1237663478722593865,334.919570068495,-0.317924365860931
1237663478722593878,334.939091588124,-0.300840466903587
1237663478722658651,334.983079132586,-0.403458236994969
1237656567584915581,334.752001305667,-0.75755127074111
1237663479796335475,334.893883658662,0.616188123986822
1237663543685023031,334.952556146407,0.410643470371978
1237663479796335652,334.920407961555,0.537440370236625
1237663479796335544,334.93699805337,0.421325248351727
1237663479259529851,335.038977924439,0.121729246850313
1237663479259530331,335.066591303769,0.0934503379079108
1237663479259464281,334.915357401202,0.136054975502265
1237663543148152004,334.88647920107,-0.0450521468170586
1237663478722659486,335.051430000874,-0.238895875168718
1237663478722659323,335.076994562606,-0.243084319500893
1237663478722659228,335.005879575042,-0.315376718372957
1237663478722659247,335.021408205993,-0.382857645177701
1237663542611346417,335.046360573597,-0.546282264816593
1237656567585047549,335.039304805116,-0.639290808513314
1237663478722659119,335.099818290069,-0.358990865982188
1237656567585047305,334.973138548515,-0.716727375090539
1237656567585047571,335.063107610453,-0.700781788040195
1237663542611346704,335.154124768625,-0.546508530921582
1237663542611345531,335.159413029066,-0.521567344383064
