objid,bands,pid1,pid2
1237656971300897277,ri,1237656971300897269,1237656971300896886
1237656971301487637,i,1237656971301487257,1237656971301487257
1237656971301945655,gr,1237656971301945655,1237656971301945655
1237657070088618225,r,1237657070088618227,1237657070088618228
1237657070089011212,ug,1237657070089011207,1237657070089011213
1237657070089339075,r,1237657070089339071,1237657070089339071
1237657070090780869,gri,1237657070090780869,1237657070090780869
1237657070619787372,g,1237657070619787372,1237657070619787424
1237657070620311897,ri,1237657070620311705,1237657070620311705
1237657070620573889,ri,1237657070620573889,1237657070620573889
1237657070628503739,gr,1237657070628503739,1237657070628503739
1237657071157510854,ri,1237657071157510854,1237657071157510854
1237657071158231329,ri,1237657071158231329,1237657071158231329
1237657071158886644,ri,1237657071158886644,1237657071158886644
1237657071697526861,ri,1237657071697526861,1237657071697526861
1237657071697854722,ri,1237657071697854719,1237657071697854719
1237657071698641867,ri,1237657071698641209,1237657071698641583
1237657190369591514,i,1237657190369591516,1237657190369591516
1237657190370967824,gr,1237657190370967824,1237657190370967825
1237657190371426900,i,1237657190371426893,1237657190371426892
