objid,bands,pid1,pid2
1237650761852780558,ugri,1237650761852780559,1237650761852780558
1237650371017769109,g,1237650371017769109,1237650371017769109
1237650762926784652,gri,1237650762926784652,1237650762926784652
1237650762389782612,gri,1237650762389782611,1237650762389782612
1237650371554902089,ri,1237650371554902089,1237650371554902090
1237650761852846176,ugr,1237650761852846178,1237650761852846176
1237655369821519974,u,1237655369821519974,1237655369821519974
1237653616936026240,g,1237653616936026240,1237653616936026240
1237653616935895162,ri,1237653616935895162,1237653616935895163
1237655369284649104,u,1237655369284649104,1237655369284649104
1237653616936091687,i,1237653616936091687,1237653616936091684
1237653617472700537,i,1237653617472700537,1237653617472700540
1237655369821388946,ug,1237655369821388946,1237655369821388950
1237655369821389006,g,1237655369821454455,1237655369821454452
1237653618009505968,g,1237653618009505968,1237653618009505969
1237655371432132712,i,1237655371432132712,1237655371432132713
1237655465375760564,r,1237655465375760564,1237655465375760564
1237655465913024609,gri,1237655465913024609,1237655465913024610
1237655370895524003,u,1237655370895524003,1237655370895524003
1237655370895327436,g,1237655370895327436,1237655370895327436
1237655465376022651,ri,1237655465376022655,1237655465376022651
1237655465375957072,gri,1237655465375957071,1237655465375957072
1237651249885413448,g,1237651249885413448,1237651249885413448
1237654398079533259,r,1237654398079533259,1237654398079467690
1237655464839282812,ri,1237655464839282812,1237655464839282812
1237655464839282749,i,1237655464839282747,1237655464839282750
1237655370895655006,i,1237655370895655006,1237655370895655007
1237655465376350320,ri,1237655465376350319,1237655465376350320
1237655370895786180,i,1237655370895786184,1237655370895786184
1237655464840069223,g,1237655464840069223,1237655464840069223
1237655369822175374,ri,1237655369822175374,1237655369822175374
1237657400805753597,i,1237657400805753597,1237657400805753598
1237657117874913442,u,1237657117874913442,1237657117874913442
1237657401342754888,i,1237657401342754888,1237657401342754888
1237657117874782441,gri,1237657117874782441,1237657117874782441
1237657401342165248,u,1237657401342165249,1237657401342165249
1237657401879232705,gri,1237657401879232705,1237657401879232706
1237657118948327470,i,1237657118948327470,1237657118948327472
