objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237664667364032716,162.583855139151,36.7332100826423,DOUBLE,"[(53, 49)(49, 55)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662225133338725,161.969867163015,37.7366188782241,NO_PEAK,"[]",DOUBLE,"[(50, 50)(57, 58)]",DOUBLE,"[(50, 50)(57, 58)]",DOUBLE,"[(49, 50)(56, 58)]"
1237662225133207677,161.575425062801,37.62562125306,NO_PEAK,"[]",SINGLE,"[(51, 34)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(51, 34)]"
1237662224596598818,162.359263358656,37.4375038576193,NO_PEAK,"[]",DOUBLE,"[(50, 49)(45, 58)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 51)]"
1237664669511712908,162.577567128447,38.4669354168084,NO_PEAK,"[]",DOUBLE,"[(50, 51)(53, 59)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662225670209671,161.792306861601,38.0994376336466,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(70, 58)]"
1237664669511450716,161.743543451774,38.4578109652185,NO_PEAK,"[]",DOUBLE,"[(50, 50)(52, 39)]",DOUBLE,"[(50, 50)(56, 27)]",NO_PEAK,"[]"
1237661381704548669,161.961846125563,38.880785344144,NO_PEAK,"[]",DOUBLE,"[(49, 49)(55, 62)]",DOUBLE,"[(50, 50)(55, 62)]",DOUBLE,"[(50, 49)(55, 62)]"
1237664668974710910,162.30755018706,38.171747126844,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(54, 71)(50, 50)]",DOUBLE,"[(55, 70)(50, 50)]"
1237662225670275195,161.966464757989,38.1589615649443,NO_PEAK,"[]",DOUBLE,"[(51, 49)(36, 47)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237662225670406247,162.292551438849,38.2969122808886,NO_PEAK,"[]",SINGLE,"[(50, 49)]",DOUBLE,"[(50, 50)(58, 59)]",NO_PEAK,"[]"
1237662225670340729,162.048633954985,38.2652261629154,SINGLE,"[(50, 50)]",SINGLE,"[(14, 13)]",DOUBLE,"[(14, 13)(17, 19)]",SINGLE,"[(15, 13)]"
1237664668974842145,162.578560959674,38.2317896390617,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(42, 50)]",DOUBLE,"[(50, 50)(42, 51)]"
1237664669511647374,162.310405827707,38.4707459124271,NO_PEAK,"[]",DOUBLE,"[(50, 50)(53, 40)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662266996556104,219.221660780212,5.74848414296532,NO_PEAK,"[]",SINGLE,"[(36, 43)]",DOUBLE,"[(50, 50)(36, 44)]",DOUBLE,"[(50, 50)(36, 44)]"
1237655743479480565,219.213698322807,5.96121502716368,DOUBLE,"[(50, 50)(51, 41)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662267533426828,219.215512167888,6.14003183115555,NO_PEAK,"[]",DOUBLE,"[(7, 40)(10, 28)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237662266459488523,218.677189436916,5.27018278048348,NO_PEAK,"[]",DOUBLE,"[(50, 50)(58, 34)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
