objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237654604776342016,131.427091277555,2.35608651088094,NO_PEAK,"[]",DOUBLE,"[(47, 58)(50, 48)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237653665787609390,131.433647666427,2.21057075462626,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(46, 30)]",DOUBLE,"[(50, 50)(60, 69)]"
1237654604776341881,131.551003590862,2.41047950223271,NO_PEAK,"[]",SINGLE,"[(49, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 49)(58, 58)]"
1237654600481505455,131.507001855444,2.34686519800144,NO_PEAK,"[]",SINGLE,"[(64, 9)]",NO_PEAK,"[]",DOUBLE,"[(61, 9)(50, 50)]"
1237654604776472790,131.725198926118,2.50146996994962,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(34, 62)]"
1237654601018507525,131.673009855738,2.61343225850014,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(36, 46)]",NO_PEAK,"[]"
1237654604776407480,131.700719439516,2.49623533858044,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(40, 44)]",DOUBLE,"[(50, 50)(39, 44)]"
1237653665787543659,131.279614190013,2.24740798889151,SINGLE,"[(50, 9)]",DOUBLE,"[(51, 10)(42, 3)]",DOUBLE,"[(51, 9)(42, 3)]",DOUBLE,"[(51, 9)(42, 2)]"
1237653665787543947,131.349617552261,2.28468790637634,NO_PEAK,"[]",NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(41, 48)]"
1237654604776341660,131.51096898481,2.53367370317211,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(46, 45)]",DOUBLE,"[(46, 45)(50, 49)]"
1237654601018376413,131.439417135745,2.57198650564239,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 50)]",DOUBLE,"[(50, 50)(60, 63)]"
1237654601018245543,131.179931110191,2.57247144920449,DOUBLE,"[(51, 49)(54, 62)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237654601018376338,131.399496569451,2.6649609414607,NO_PEAK,"[]",SINGLE,"[(51, 29)]",SINGLE,"[(51, 29)]",DOUBLE,"[(51, 29)(50, 50)]"
1237654601018048696,130.703506792569,2.66079118902809,NO_PEAK,"[]",SINGLE,"[(59, 58)]",DOUBLE,"[(59, 59)(50, 50)]",DOUBLE,"[(59, 58)(50, 50)]"
1237653665787478454,131.166740205364,2.1971371340114,DOUBLE,"[(47, 49)(53, 49)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237651537634853057,164.648090036569,65.0950306556706,NO_PEAK,"[]",NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(64, 50)(50, 50)]"
1237651538708725780,164.667556197538,66.0187924242141,SINGLE,"[(43, 48)]",DOUBLE,"[(43, 48)(50, 50)]",DOUBLE,"[(43, 48)(50, 50)]",DOUBLE,"[(43, 49)(50, 50)]"
1237651272433729595,163.990499352328,65.8149544415667,NO_PEAK,"[]",DOUBLE,"[(50, 50)(49, 59)]",DOUBLE,"[(50, 49)(37, 43)]",DOUBLE,"[(50, 50)(37, 44)]"
1237651271359856713,164.095862366678,64.8743759011585,DOUBLE,"[(54, 40)(50, 52)]",DOUBLE,"[(54, 39)(50, 49)]",DOUBLE,"[(55, 40)(50, 50)]",DOUBLE,"[(55, 40)(51, 50)]"
1237651538171658511,164.01786990398,65.4152086851531,NO_PEAK,"[]",DOUBLE,"[(49, 46)(55, 52)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237651272433598601,163.326654624949,65.7025874066327,NO_PEAK,"[]",DOUBLE,"[(50, 50)(38, 66)]",DOUBLE,"[(50, 50)(39, 65)]",NO_PEAK,"[]"
1237651271359791314,163.735455345891,64.9198024976534,NO_PEAK,"[]",DOUBLE,"[(50, 49)(60, 46)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]"
1237651538708332695,162.666049546717,65.7272089505856,NO_PEAK,"[]",DOUBLE,"[(50, 50)(70, 75)]",DOUBLE,"[(50, 49)(72, 48)]",DOUBLE,"[(50, 50)(69, 75)]"
1237651272970469505,162.9395904388,66.1059078251844,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(47, 43)]",DOUBLE,"[(51, 50)(48, 44)]"
1237651538708332930,162.835800957529,65.6817825145584,NO_PEAK,"[]",SINGLE,"[(51, 50)]",DOUBLE,"[(50, 50)(41, 49)]",SINGLE,"[(51, 50)]"
1237651272970403978,162.647207102237,66.0450616753912,NO_PEAK,"[]",DOUBLE,"[(52, 50)(41, 53)]",DOUBLE,"[(49, 51)(39, 54)]",NO_PEAK,"[]"
1237651537634590844,163.461556267737,64.9037399139442,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(51, 50)(56, 64)]"
1237651539245072453,161.797931666727,66.0110411679849,NO_PEAK,"[]",DOUBLE,"[(50, 50)(48, 77)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237651539245072605,161.659169282033,66.0944443627849,SINGLE,"[(31, 27)]",DOUBLE,"[(51, 50)(39, 36)]",NO_PEAK,"[]",DOUBLE,"[(52, 52)(50, 48)]"
1237651540319207537,163.000983105172,67.0562992451432,NO_PEAK,"[]",DOUBLE,"[(51, 45)(50, 49)]",SINGLE,"[(50, 48)]",SINGLE,"[(50, 51)]"
1237651540319010933,161.708600723946,67.0237198189237,NO_PEAK,"[]",SINGLE,"[(43, 38)]",DOUBLE,"[(50, 50)(44, 38)]",DOUBLE,"[(50, 50)(44, 38)]"
1237651274044145765,161.820247938595,66.8524095619903,NO_PEAK,"[]",DOUBLE,"[(50, 50)(51, 42)]",SINGLE,"[(50, 51)]",SINGLE,"[(50, 51)]"
1237651274044473491,163.775424767308,67.1551017876916,DOUBLE,"[(49, 51)(58, 41)]",DOUBLE,"[(50, 50)(58, 42)]",DOUBLE,"[(50, 50)(58, 42)]",SINGLE,"[(51, 50)]"
1237651540319404208,164.089527311211,67.382210461019,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(49, 68)]",NO_PEAK,"[]"
1237651539782140018,162.264575355749,66.5731143582047,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(51, 49)]",DOUBLE,"[(50, 50)(61, 64)]"
1237651273507209335,162.157991966873,66.3620362757841,NO_PEAK,"[]",DOUBLE,"[(51, 50)(45, 87)]",DOUBLE,"[(50, 50)(45, 78)]",DOUBLE,"[(50, 50)(53, 25)]"
1237651539782139993,162.203741180286,66.6101382096943,SINGLE,"[(50, 51)]",DOUBLE,"[(50, 50)(56, 69)]",DOUBLE,"[(50, 50)(57, 70)]",NO_PEAK,"[]"
1237651274044538943,164.163232431626,67.1802912967534,DOUBLE,"[(49, 50)(60, 48)]",DOUBLE,"[(50, 50)(60, 48)]",SINGLE,"[(50, 49)]",NO_PEAK,"[]"
1237674367530828056,120.712632293017,34.934024498333,SINGLE,"[(42, 42)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(42, 43)]",DOUBLE,"[(50, 50)(42, 42)]"
1237657595148369990,120.472272474195,34.5904806885261,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(51, 34)]",DOUBLE,"[(49, 50)(50, 34)]"
1237657595148435781,120.510206303308,34.6985838401036,NO_PEAK,"[]",SINGLE,"[(49, 50)]",DOUBLE,"[(50, 50)(35, 39)]",SINGLE,"[(1, 3)]"
1237657595148239150,120.397614721536,34.3182747714078,NO_PEAK,"[]",DOUBLE,"[(50, 50)(58, 46)]",SINGLE,"[(50, 49)]",DOUBLE,"[(50, 50)(58, 46)]"
1237674366993891558,120.669381441868,34.5214417261858,NO_PEAK,"[]",DOUBLE,"[(50, 49)(31, 40)]",DOUBLE,"[(50, 50)(67, 58)]",DOUBLE,"[(50, 49)(31, 40)]"
1237674290219778370,121.074328014149,34.6453105434742,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(60, 59)]"
1237655467525603634,229.392951403201,0.640400547248325,NO_PEAK,"[]",DOUBLE,"[(51, 50)(32, 57)]",DOUBLE,"[(50, 49)(31, 56)]",DOUBLE,"[(51, 50)(31, 57)]"
1237648705134264658,229.737687593148,0.515689005860997,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(47, 57)]",DOUBLE,"[(50, 50)(47, 58)]"
1237648721789387064,229.769855300072,0.413725702606299,NO_PEAK,"[]",SINGLE,"[(50, 49)]",DOUBLE,"[(67, 74)(50, 50)]",DOUBLE,"[(66, 74)(50, 50)]"
1237648705134133510,229.451951810619,0.459056247013551,NO_PEAK,"[]",DOUBLE,"[(51, 50)(59, 47)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 49)]"
1237648721252516188,229.774350803468,-0.0324365422798476,DOUBLE,"[(53, 44)(49, 51)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237648721789387053,229.756212962593,0.22068714902857,SINGLE,"[(1, 31)]",DOUBLE,"[(1, 31)(1, 41)]",DOUBLE,"[(1, 30)(1, 40)]",DOUBLE,"[(1, 41)(1, 31)]"
1237648704597328218,229.61012666718,0.201255776596787,SINGLE,"[(35, 40)]",SINGLE,"[(34, 41)]",DOUBLE,"[(50, 49)(35, 41)]",DOUBLE,"[(50, 50)(35, 42)]"
1237655468062605436,229.675649952185,1.1083379277814,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(61, 24)(61, 17)]",DOUBLE,"[(61, 24)(62, 18)]"
1237648705671135445,229.735526744448,0.880195695258261,NO_PEAK,"[]",DOUBLE,"[(50, 50)(59, 43)]",DOUBLE,"[(50, 49)(59, 43)]",DOUBLE,"[(50, 49)(60, 43)]"
1237648704597459250,229.92333239275,0.072235122252225,DOUBLE,"[(64, 47)(51, 50)]",DOUBLE,"[(64, 47)(50, 50)]",DOUBLE,"[(51, 50)(63, 48)]",DOUBLE,"[(50, 50)(63, 47)]"
1237648705671201105,229.938535968646,0.87929047574304,SINGLE,"[(27, 20)]",DOUBLE,"[(50, 50)(42, 42)]",DOUBLE,"[(50, 50)(56, 60)]",DOUBLE,"[(51, 50)(29, 56)]"
1237651735778755072,229.829768040512,1.15961875633508,NO_PEAK,"[]",SINGLE,"[(49, 51)]",DOUBLE,"[(50, 50)(56, 36)]",NO_PEAK,"[]"
1237648705134461264,230.266599271288,0.556454456823128,SINGLE,"[(56, 57)]",DOUBLE,"[(56, 57)(50, 50)]",DOUBLE,"[(55, 56)(50, 50)]",NO_PEAK,"[]"
1237648704597655755,230.351545149608,0.117125217605699,SINGLE,"[(47, 23)]",SINGLE,"[(48, 23)]",DOUBLE,"[(48, 23)(50, 50)]",DOUBLE,"[(48, 23)(50, 50)]"
