objid,ra,dec
1237645942905897437,58.0270725220787,0.215316775892686
1237666300558967616,58.0272822082536,-0.155756082717075
1237663238205538851,58.0273364067828,-0.329778834111509
1237666302169580130,58.0274064139323,1.20353590682148
1237666299485225711,58.0275469667149,-0.961359518225491
1237666300022096026,58.0280079212844,-0.54337921215152
1237660339632997277,58.0282129784238,0.236020387270867
1237663239279280979,58.0282166423981,0.611586049346845
1237666301632709410,58.0284148866561,0.7536750779858
1237666300558967618,58.0286984364514,-0.0875820148812188
1237663237668667475,58.0291794658632,-0.655879939310047
1237663237668667519,58.0295806822307,-0.643246156607102
1237666302169580137,58.0296161463277,1.11365403932538
1237666300022096604,58.0296998342666,-0.585671189134811
1237666301632709414,58.0299891217412,0.64518390821752
1237663237668668045,58.0301124083388,-0.633165493493061
1237645942905897720,58.03013375493,0.107880469394342
1237663238205539075,58.0302439904515,-0.24398698837877
1237666299485225242,58.0306570188686,-0.853736532089821
1237663237129896546,53.6643644751339,-1.19190101279859
1237666302167679523,53.664369166324,1.20636979813045
1237663238203638593,53.6645565455815,-0.220052975634213
1237666301093937794,53.6645853093339,0.295304823582946
1237666300020195865,53.6648724088814,-0.623046489542865
1237657586029823119,53.6649184560184,-0.103928129178516
1237660239778415089,53.6650662873093,-0.723019005504452
1237666301093937795,53.6653202061812,0.338449387522403
1237663238203638595,53.665515168061,-0.282704861541104
1237663238740510153,53.6655506789351,0.187403407635084
1237663237129896550,53.6659505924803,-1.13344671483246
1237663238203638596,53.6661384514381,-0.213879201181473
1237660241389027903,53.6662271201047,0.439667629142477
1237666299483325214,53.6664230544312,-0.876048812552376
1237666299483324899,53.6667854853796,-0.848222405933839
1237663237129897155,53.6668714130276,-1.08930170940545
1237660239778415519,53.6669224209043,-0.733102490868734
1237660239778415888,53.6669780216391,-0.799232984569145
1237660241925898984,53.667118946856,0.953014618735155
1237666301630808938,53.6674034768968,0.718133323567161
1237666300020196191,53.6674082178955,-0.624193561424077
1237663238740509615,53.6675208591244,0.184425938156981
1237660239778415742,53.6678137749186,-0.802062543246851
1237663238203638303,53.6678725994025,-0.359975594381409
1237666299483325220,53.667968753521,-0.98819844910118
1237666300558115429,56.0905563153165,-0.178852741750981
1237666300021244554,56.0905872235932,-0.582317955281411
1237663238741558422,56.0906385650629,0.204831718408736
1237666299484373903,56.091005828187,-1.04471390164168
1237666302168728435,56.0910789191209,1.22082588325053
1237666301094986264,56.0911999284775,0.306771298644424
