objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237662306195931344,231.131263886395,32.0220381048808,SINGLE,"[(34, 46)]",DOUBLE,"[(34, 46)(50, 50)]",DOUBLE,"[(34, 46)(50, 50)]",DOUBLE,"[(34, 46)(50, 50)]"
1237662340008640697,230.6275700938,32.046644071568,NO_PEAK,"[]",DOUBLE,"[(50, 50)(48, 55)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(48, 55)]"
1237662305659060401,230.894595556708,31.6154952857142,NO_PEAK,"[]",DOUBLE,"[(50, 49)(65, 56)]",DOUBLE,"[(50, 50)(33, 31)]",DOUBLE,"[(50, 50)(64, 56)]"
1237662339471966267,230.961161232823,31.4776437454628,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(49, 62)]"
1237662305659060387,230.942533812669,31.7068686673446,NO_PEAK,"[]",DOUBLE,"[(50, 50)(40, 37)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237662305658994984,230.796261264354,31.6465692329614,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(63, 59)]",DOUBLE,"[(50, 50)(63, 59)]"
1237662339471835382,230.636439876678,31.5352857618356,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(50, 69)]",DOUBLE,"[(50, 50)(50, 70)]"
1237648722304958483,181.055969909436,0.63053060418095,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(45, 41)]",DOUBLE,"[(50, 50)(44, 41)]"
1237648722841960596,181.432442742975,1.07886962508838,NO_PEAK,"[]",DOUBLE,"[(49, 49)(62, 52)]",DOUBLE,"[(50, 50)(62, 52)]",DOUBLE,"[(50, 50)(62, 52)]"
1237674651002994696,181.202568881057,0.459892170564064,SINGLE,"[(49, 60)]",DOUBLE,"[(49, 60)(50, 50)]",DOUBLE,"[(49, 60)(50, 50)]",DOUBLE,"[(49, 60)(50, 50)]"
1237674650466123943,181.308925033001,0.0883525823091683,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(41, 55)]",SINGLE,"[(50, 50)]"
1237674651003125906,181.524495082324,0.463867072893873,NO_PEAK,"[]",DOUBLE,"[(50, 50)(45, 78)]",DOUBLE,"[(50, 49)(47, 68)]",DOUBLE,"[(50, 50)(47, 68)]"
1237648721768349945,181.645512785273,0.334950500624105,NO_PEAK,"[]",SINGLE,"[(56, 47)]",DOUBLE,"[(50, 50)(56, 47)]",SINGLE,"[(4, 42)]"
1237648721231544485,181.781503862995,-0.020176539548402,DOUBLE,"[(56, 53)(48, 51)]",SINGLE,"[(54, 52)]",SINGLE,"[(45, 29)]",SINGLE,"[(45, 29)]"
1237648722841960629,181.459482415116,1.05495435655301,NO_PEAK,"[]",DOUBLE,"[(50, 50)(47, 58)]",NO_PEAK,"[]",NO_PEAK,"[]"
1237648722305351966,182.016508135745,0.697575610320733,NO_PEAK,"[]",DOUBLE,"[(50, 50)(56, 44)]",DOUBLE,"[(56, 87)(50, 50)]",DOUBLE,"[(56, 87)(50, 50)]"
