objid,ra,dec,u-type,u-peaks,g-type,g-peaks,r-type,r-peaks,i-type,i-peaks
1237656494561296999,323.984651113874,10.6584275344146,NO_PEAK,"[]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(58, 48)]"
1237656495098233583,323.925939694987,11.1865787059676,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(41, 50)]",DOUBLE,"[(50, 50)(41, 49)]"
1237656495098101818,323.637404164137,10.9476524285755,NO_PEAK,"[]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(21, 49)]",DOUBLE,"[(50, 50)(61, 84)]"
1237652942622884485,323.764629527008,10.9604026534293,NO_PEAK,"[]",DOUBLE,"[(48, 63)(49, 50)]",DOUBLE,"[(47, 62)(50, 49)]",NO_PEAK,"[]"
1237656494024163709,323.329814443472,10.1640844729245,SINGLE,"[(50, 38)]",DOUBLE,"[(50, 39)(50, 50)]",DOUBLE,"[(49, 38)(50, 49)]",DOUBLE,"[(50, 39)(50, 51)]"
1237656494561099816,323.413709647507,10.5083246589845,NO_PEAK,"[]",DOUBLE,"[(27, 65)(50, 50)]",DOUBLE,"[(27, 65)(50, 50)]",DOUBLE,"[(28, 64)(50, 50)]"
1237656495097905302,323.224239575327,11.0012124710181,SINGLE,"[(43, 37)]",DOUBLE,"[(44, 37)(50, 50)]",DOUBLE,"[(50, 50)(43, 36)]",NO_PEAK,"[]"
1237654947838886074,235.450980849827,55.1929105695642,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",DOUBLE,"[(50, 50)(25, 66)]",DOUBLE,"[(50, 50)(25, 67)]"
1237651252047315240,235.266741501469,54.9294545703711,NO_PEAK,"[]",DOUBLE,"[(50, 50)(43, 54)]",SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]"
1237668603145618034,234.194301730258,54.6233951331196,NO_PEAK,"[]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(41, 46)]",DOUBLE,"[(50, 50)(42, 47)]"
1237651250973573237,234.053629248037,54.2833372104266,SINGLE,"[(50, 50)]",SINGLE,"[(50, 50)]",NO_PEAK,"[]",DOUBLE,"[(50, 50)(37, 50)]"
