objid,bands,pid1,pid2
1237661852008972302,ri,1237661852008972302,1237661852008972302
1237661851472035938,g,1237661851472035938,1237661851472035938
1237661851472035935,i,1237661851472035935,1237661851472035935
1237661852009037945,r,1237661852009037945,1237661852009037945
1237661852009037898,ri,1237661852009037898,1237661852009037898
1237661873480007885,ug,1237661873480007885,1237661873480007887
1237661872407511213,gri,1237661872407511213,1237661872407511213
1237661850399539434,g,1237661850399539434,1237661850399539434
1237661850399473746,i,1237661850399473746,1237661850399474114
1237661850936279128,gr,1237661850936279128,1237661850936279128
1237661871333376072,gr,1237661871333376072,1237661871333376072
1237662196140671134,ri,1237662196140671134,1237662196140671134
1237661872943923335,ri,1237661872943923334,1237661872943923335
1237661872943923371,ri,1237661872943923371,1237661872943923371
1237661872406855784,g,1237661872406855784,1237661872406855785
1237661850399015056,r,1237661850399015056,1237661850399015056
1237658493873225740,i,1237658493873225740,1237658493873225741
1237658493873160383,gri,1237658493873160383,1237658493873160383
1237661063875723452,i,1237661063875723451,1237661063875723453
1237660413725114640,i,1237660413725114640,1237660413725114640
1237660413725114420,i,1237660413725114421,1237660413725114420
1237661064412529318,ri,1237661064412529318,1237661064412529318
1237658493336027366,ri,1237658493336027373,1237658493336027366
1237660413724852526,i,1237660413724852526,1237660413724852527
1237660413724852514,ri,1237660413724852514,1237660413724852514
1237660669811753158,i,1237660669811753160,1237660669811753158
1237661064412463195,i,1237661064412463222,1237661064412463222
1237660669811753298,ri,1237660669811753298,1237660669811753298
1237661064412332188,i,1237661064412332188,1237661064412332188
1237661064412332151,gri,1237661064412332151,1237661064412332151
1237661063875330291,r,1237661063875330291,1237661063875330291
1237658493872766988,ri,1237658493872766988,1237658493872766988
1237661064412135483,u,1237661064412135483,1237661064412135483
1237661064948940943,ri,1237661064948940943,1237661064948940945
1237661063875068083,gri,1237661063875068083,1237661063875068083
1237658493872570546,i,1237658493872570546,1237658493872570552
1237660669811097810,r,1237660669811097810,1237660669811097807
1237660669811097615,i,1237660669811097615,1237660669811097615
1237666299485421690,i,1237666299485421690,1237666299485421690
1237663237668864284,i,1237663237668864284,1237663237668864284
1237663237668798573,i,1237663237668733226,1237663237668798573
1237663237668798525,i,1237663237668798540,1237663237668798525
1237663237668798631,g,1237663237668798631,1237663237668798636
1237663237131731091,ri,1237663237131731091,1237663237131731091
1237666300022030452,g,1237666300022030452,1237666300022030453
1237663238205341968,g,1237663238205341968,1237663238205341968
1237666300021833877,gr,1237666300021833877,1237666300021833877
1237666300021768393,i,1237666300021768393,1237666300021768394
1237666300558704780,u,1237666300558704780,1237666300558639269
1237663237131469089,gr,1237663237131469103,1237663237131469089
1237666300021702694,ri,1237666300021702694,1237666300021702694
1237661976547033186,g,1237661976547033186,1237661976547033186
1237661976010424490,i,1237661976010424490,1237661976010424490
1237661976010293410,gri,1237661976010293410,1237661976010293410
1237661976547295406,ri,1237661976547295406,1237661976547295406
1237661872415899774,i,1237661872415899774,1237661872415899774
1237661872952705288,u,1237661872952705288,1237661872952705288
1237661851481735334,r,1237661851481735334,1237661851481735339
1237661872952770818,i,1237661872952770818,1237661872952770818
1237661871879094605,i,1237661871879094605,1237661871879094606
1237661850408059031,gri,1237661850408059031,1237661850408059031
1237661872952639805,i,1237661872952639805,1237661872952639805
1237661872952574137,ugr,1237661872952574137,1237661872952574139
1237661871878963328,g,1237661871878963328,1237661871878963328
1237662196149518504,ug,1237661871342223919,1237661871342223919
1237661850944602135,u,1237661850944602135,1237661850944602135
1237661850944602144,gri,1237661850944602144,1237661850944602201
1237661850944602227,g,1237661850944602256,1237661850944602256
1237661872415572193,gr,1237661872415572193,1237661872415572193
1237661850407534614,i,1237661850407534614,1237661850407534614
1237661850944405782,i,1237661850944405782,1237661850944405784
1237662196149452848,i,1237662196149452849,1237662196149452848
1237661850407469235,ri,1237661850407469235,1237661850407469235
1237661849870925995,i,1237661849870925995,1237661849870925997
1237661849870467240,ri,1237661849870467240,1237661849870467241
1237661871341830323,r,1237661871341830323,1237661871341830326
1237661849870467168,i,1237661849870467171,1237661849870467168
1237662196148666567,ugr,1237662196148666567,1237662196148666567
1237661849870336207,ri,1237661849870336207,1237661849870336216
1237657190910656584,ri,1237657190910656584,1237657190910656637
1237657189836914833,u,1237657189836914836,1237657189836914835
1237678617423053356,g,1237678617423053357,1237678617423053356
1237663716019274024,gri,1237663716019274024,1237663716019274024
1237663785276604760,r,1237663785276604616,1237663785276604616
1237666340797743650,r,1237666340797743650,1237666340797743650
1237663204919542177,g,1237663204919542177,1237663204919542177
1237663784739733697,ugi,1237663784739733697,1237663784739733697
1237663784202928324,g,1237663784202928324,1237663784202928324
1237655499737792557,i,1237655499737792560,1237655499737792556
1237655499737792575,ri,1237655499737792575,1237655499737792575
1237655499737923792,gr,1237655499737923792,1237655499737923792
1237655495442497728,gr,1237655495442497741,1237655495442497728
1237655495442497643,i,1237655495442497642,1237655495442497643
1237655495442497630,ri,1237655495442497629,1237655495442497630
1237655500274729179,r,1237655500274729179,1237655500274729179
1237655499737923780,g,1237655499737923780,1237655499737923790
1237655493295538267,gr,1237655493295538266,1237655493295538267
1237655493295473343,r,1237655493295473343,1237655493295473343
1237655493832343803,u,1237655493832343803,1237655493832343803
1237655493295472836,i,1237655493295472836,1237655493295473062
1237654879654445230,i,1237654879654445230,1237654879654445230
1237654880191250490,gr,1237654880191250490,1237654880191250491
1237654880191316182,gr,1237654880191316182,1237654880191316182
1237654879117246522,g,1237654879117246522,1237654879117246612
1237655124476493997,i,1237655124476493997,1237655124476493997
1237655124476624980,i,1237655124476624980,1237655124476624997
1237655125013561465,ri,1237655125013561465,1237655125013561466
1237654879117115622,ri,1237654879117115622,1237654879117115626
1237655124476494021,i,1237655124476494021,1237655124476494021
1237654879654117565,ri,1237654879654117565,1237654879654117566
1237651737910378672,ri,1237651737910378672,1237651737910378672
1237655124476297345,g,1237655124476297345,1237655124476297346
1237654879653724355,ri,1237654879653724355,1237654879653724358
1237654879653724317,g,1237654879653724317,1237654879653724317
1237654879653724419,i,1237654879653724546,1237654879653724545
1237655125012971825,u,1237655125012971825,1237655125012971825
1237655125013037160,ri,1237655125013037160,1237655125013037181
1237655125012971666,i,1237655125012971666,1237655125012971666
1237654879116918959,ri,1237654879116918958,1237654879116918959
